Name,TOT_P
Karimganj,1228686
Hailakandi,659296
Bongaigaon,738804
Chirang,482162
Kamrup,1517542
Kamrup Metropolitan,1253938
Nalbari,771639
Baksa,950075
Darrang,928500
Udalguri,831668
Darjiling ,1846823
Jalpaiguri ,3872846
Koch Bihar ,2819086
Uttar Dinajpur,3007134
Dakshin Dinajpur,1676276
Maldah ,3988845
Murshidabad ,7103807
Birbhum,3502404
Barddhaman ,7717563
Nadia ,5167600
North Twenty Four Parganas,10009781
Hugli ,5519145
Bankura ,3596674
Puruliya,2930115
Haora ,4850029
Kolkata,4496694
South Twenty Four Parganas,8161961
Paschim Medinipur,5913457
Purba Medinipur,5095875
Garhwa ,1322784
Chatra,1042886
Kodarma,716259
Giridih,2445474
Deoghar,1492073
Godda,1313551
Sahibganj,1150567
Pakur,900422
Dhanbad,2684487
Bokaro,2062330
Lohardaga,461790
Purbi Singhbhum,2293919
Palamu,1939869
Latehar,726978
Hazaribagh,1734495
Ramgarh,949443
Dumka,1321442
Jamtara,791042
Ranchi,2914253
Khunti,531885
Gumla,1025213
Simdega,599578
Pashchimi Singhbhum,1502338
Saraikela-Kharsawan,1065056
Bargarh,1481255
Jharsuguda,579505
Sambalpur,1041099
Debagarh,312520
Sundargarh,2093437
Kendujhar,1801733
Mayurbhanj,2519738
Baleshwar,2320529
Bhadrak,1506337
Kendrapara ,1440361
Jagatsinghapur ,1136971
Cuttack,2624470
Jajapur  ,1827192
Dhenkanal,1192811
Anugul  ,1273821
Nayagarh  ,962789
Khordha ,2251673
Puri,1698730
Ganjam,3529031
Gajapati,577817
Kandhamal,733110
Baudh,441162
Subarnapur,610183
Balangir,1648997
Nuapada,610382
Kalahandi,1576869
Rayagada  ,967911
Nabarangapur ,1220946
Koraput,1379647
Malkangiri  ,613192
Koriya,658917
Surguja,2359886
Jashpur ,851669
Raigarh,1493984
Korba ,1206640
Janjgir - Champa,1619707
Bilaspur,2663629
Kabeerdham,822526
Rajnandgaon,1537133
Durg,3343872
Raipur,4063872
Mahasamund,1032754
Dhamtari ,799781
Uttar Bastar Kanker,748941
Bastar,1413199
Narayanpur,139820
Dakshin Bastar Dantewada,533638
Bijapur,255230
Sheopur ,687861
Morena,1965970
Bhind,1703005
Gwalior,2032036
Datia,786754
Shivpuri,1726050
Tikamgarh,1445166
Chhatarpur,1762375
Panna,1016520
Sagar,2378458
Damoh,1264219
Satna,2228935
Rewa,2365106
Umaria,644758
Neemuch ,826067
Mandsaur,1340411
Ratlam,1455069
Ujjain,1986864
Shajapur,1512681
Dewas,1563715
Dhar,2185793
Indore,3276697
Khargone (West Nimar),1873046
Barwani ,1385881
Rajgarh,1545814
Vidisha,1458875
Bhopal,2371061
Sehore,1311332
Raisen,1331597
Betul,1575362
Harda ,570465
Hoshangabad,1241350
Katni ,1292042
Jabalpur,2463289
Narsimhapur,1091854
Dindori ,704524
Mandla,1054905
Chhindwara,2090922
Seoni,1379131
Balaghat,1701698
Guna,1241519
Ashoknagar,845071
Shahdol,1066063
Anuppur,749237
Sidhi,1127033
Singrauli,1178273
Jhabua,1025048
Alirajpur,728999
Khandwa (East Nimar),1310061
Burhanpur,757847
Kachchh,2092371
Banas Kantha,3120506
Patan  ,1343734
Mahesana,2035064
Sabar Kantha,2428589
Gandhinagar,1391753
Ahmadabad,7214225
Surendranagar,1756268
Rajkot,3804558
Jamnagar,2160119
Porbandar ,585449
Junagadh,2743082
Amreli,1514190
Bhavnagar,2880365
Anand  ,2092745
Kheda,2299885
Panch Mahals,2390776
Dohad  ,2127086
Vadodara,4165626
Narmada,590297
Bharuch,1551019
The Dangs,228291
Navsari  ,1329672
