,year,state_name,district_name,registration_circles,murder,clpbl_hmcrd_not_amt_murder,hit_and_run,acdnt_other_than_hit_and_run_,deaths_negl_rel_rail_acdnt,deaths_due_med_negnc,deaths_neg_civic_bodies,deaths_other_negnc,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_clpb_hmcrd,atmpt_cmmt_suicide,vlntrly_caus_simple_hurt,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,other_simple_hurt,vlntrly_caus_grvus_hurt,grvus_hrt_dangerous_wepn,acid_attack,atmpt_acid_attack,grvus_hrt_pub_srvnt_duty,grvus_hrt_lf_safety,other_grievous_hurt,wrngful_rest_cnfm,assault_on_women,sex_hrrsmt_work_office_prms,sex_hrrsmt_pub_trnsprt_sys,sex_hrrsmt_shelter_homes,sex_hrrsmt_other_places,intnt_disrbe,voyeurism,stalking,missing_child_kidnpd,other_kidnp_abduc,kidnp_abdctn_begging,kidnp_abdctn_murder,kidnapping_for_ransom,kidnp_abdctn_marrg,proc_minor_girls,import_girls_frgn_cntry,other_kidnp_abduc_sec_365_369,human_trafficking,exp_traf_person,sell_minors_prost,buy_minors_prost,rape,atmpt_rape,unnatural_offences,ofnc_agnst_state_sedition,ofnc_agnst_state_other,ofnc_agnst_pub_trnqul,rioting_communal_religious,rioting_sectarian,rioting_industrial,rioting_political,rioting_caste_conflict,rioting_agrarian,rioting_students,rioting_vigilants,rioting_money_dispute,rioting_enmity_rivalry,riot_andolan_morcha,riot_polc_prsnl_gvt_srvnt,other_rioting,prmt_enmty_grps,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,other_thefts,day_time_burglary,night_burglary,extortion_and_blackmailing,robbery,atmpt_dacoity_robbery,dacoity,dacoity_with_murder,mkng_prprtn_assmbly_cmmttng_dcty,criminal_misappropriation,criminal_breach_of_trust,dsh_hon_rec_deal_stl_prop,counterfeit_coin,cntrfte_govt_stamp,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,other_frauds,cheating,forgery,ofnc_elections,disbnc_ordr_prmlgtd_pblc_srvnt,harboring_offender,sale_food_drugs,rash_driving_pub_way,csng_hrt_rsh_nglgnt_drvng_pblc_wy,grvus_hrt_rsh_nglgnt_drvng,obstruction_pub_way,sale_obscene_books_objects,obscene_acts_songs_public_places,ofnc_religion,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crcl_false_fake_news_rumours,criminal_intimidation,insult_modesty_women,other_ipc_crimes
10,2017,Andhra Pradesh,Prakasam,Prakasham,91.0,46.0,33.0,452.0,0.0,0.0,0.0,0.0,58.0,83.0,0.0,33.0,112.0,1257.0,53.0,5.0,0.0,13.0,25.0,1.0,1.0,0.0,3.0,0.0,100.0,268.0,0.0,0.0,0.0,36.0,27.0,0.0,42.0,0.0,13.0,0.0,0.0,0.0,25.0,5.0,0.0,11.0,10.0,0.0,0.0,0.0,91.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,29.0,189.0,329.0,54.0,218.0,17.0,23.0,0.0,7.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,149.0,18.0,0.0,0.0,0.0,23.0,182.0,760.0,149.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,272.0,0.0,135.0,4.0,295.0
11,2017,Andhra Pradesh,East Godavari,Rajahmundry,14.0,0.0,25.0,135.0,0.0,0.0,0.0,2.0,15.0,30.0,0.0,19.0,74.0,344.0,10.0,0.0,1.0,11.0,6.0,0.0,0.0,3.0,0.0,0.0,9.0,59.0,0.0,0.0,1.0,14.0,7.0,2.0,15.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,273.0,208.0,31.0,102.0,10.0,11.0,0.0,3.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,56.0,6.0,0.0,0.0,0.0,0.0,36.0,274.0,155.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,48.0,0.0,23.0,31.0,12.0
12,2017,Andhra Pradesh,Srikakulam,Srikakulam,30.0,25.0,25.0,273.0,0.0,1.0,0.0,8.0,21.0,20.0,0.0,10.0,51.0,564.0,27.0,195.0,1.0,11.0,32.0,0.0,0.0,2.0,0.0,0.0,20.0,39.0,0.0,2.0,0.0,27.0,15.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0,45.0,57.0,28.0,63.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,6.0,99.0,3.0,0.0,2.0,0.0,23.0,403.0,150.0,413.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,111.0,0.0,21.0,7.0,84.0
13,2017,Andhra Pradesh,Tirupati,Tirupathi Urban,38.0,3.0,42.0,210.0,0.0,0.0,0.0,1.0,7.0,29.0,0.0,5.0,120.0,278.0,14.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,15.0,4.0,3.0,14.0,2.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,18.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,17.0,245.0,342.0,44.0,184.0,25.0,9.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,246.0,30.0,0.0,0.0,0.0,2.0,1552.0,288.0,34.0,0.0,8.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,55.0,203.0
14,2017,Andhra Pradesh,Ntr,Vijayawada City,34.0,0.0,42.0,304.0,0.0,0.0,0.0,15.0,23.0,43.0,0.0,21.0,1.0,583.0,1.0,14.0,0.0,15.0,18.0,1.0,0.0,0.0,6.0,0.0,176.0,96.0,1.0,0.0,0.0,76.0,5.0,10.0,87.0,0.0,16.0,0.0,0.0,1.0,10.0,5.0,0.0,3.0,8.0,12.0,0.0,0.0,79.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,724.0,1005.0,65.0,242.0,29.0,50.0,25.0,3.0,0.0,0.0,2.0,54.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,366.0,64.0,0.0,0.0,0.0,171.0,164.0,860.0,279.0,2.0,1.0,108.0,0.0,0.0,15.0,18.0,130.0,3.0,34.0,135.0,160.0
15,2017,Andhra Pradesh,Ntr,Vijayawada Railway,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,10.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1123.0,0.0,1.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
16,2017,Andhra Pradesh,Visakhapatnam,Visakha Rural,39.0,7.0,13.0,319.0,0.0,0.0,0.0,0.0,6.0,52.0,0.0,1.0,25.0,332.0,9.0,0.0,0.0,3.0,19.0,0.0,0.0,13.0,0.0,0.0,24.0,142.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,15.0,0.0,0.0,2.0,47.0,83.0,29.0,86.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,280.0,129.0,358.0,5.0,0.0,0.0,0.0,3.0,3.0,14.0,109.0,0.0,7.0,24.0,489.0
17,2017,Andhra Pradesh,Visakhapatnam,Visakhapatnam,40.0,14.0,28.0,305.0,3.0,0.0,1.0,4.0,16.0,69.0,0.0,16.0,72.0,407.0,46.0,111.0,3.0,25.0,53.0,0.0,0.0,7.0,337.0,0.0,24.0,198.0,0.0,0.0,0.0,24.0,5.0,7.0,80.0,61.0,88.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,586.0,759.0,91.0,285.0,4.0,45.0,0.0,4.0,0.0,1.0,1.0,68.0,0.0,0.0,0.0,0.0,2.0,23.0,3.0,20.0,106.0,519.0,41.0,0.0,6.0,0.0,0.0,265.0,177.0,421.0,1.0,1.0,2.0,0.0,2.0,0.0,9.0,272.0,0.0,19.0,76.0,467.0
18,2017,Andhra Pradesh,Vizianagaram,Vizianagaram,28.0,4.0,31.0,408.0,0.0,0.0,0.0,5.0,8.0,16.0,0.0,0.0,44.0,468.0,16.0,660.0,0.0,5.0,26.0,1.0,0.0,3.0,185.0,0.0,11.0,55.0,0.0,1.0,2.0,19.0,14.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,36.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,17.0,87.0,104.0,15.0,97.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,89.0,4.0,0.0,0.0,0.0,200.0,3489.0,112.0,335.0,0.0,0.0,414.0,1.0,0.0,3.0,5.0,113.0,0.0,2.0,53.0,1916.0
19,2017,Andhra Pradesh,West Godavari,West Godavari,54.0,13.0,70.0,586.0,0.0,2.0,0.0,16.0,47.0,86.0,0.0,21.0,155.0,1375.0,106.0,28.0,0.0,0.0,76.0,1.0,0.0,0.0,32.0,0.0,271.0,132.0,0.0,0.0,0.0,140.0,100.0,8.0,100.0,0.0,24.0,0.0,0.0,2.0,24.0,1.0,0.0,29.0,4.0,0.0,0.0,0.0,60.0,33.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,18.0,352.0,518.0,66.0,362.0,52.0,20.0,0.0,5.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,417.0,14.0,0.0,32.0,0.0,0.0,122.0,538.0,667.0,0.0,3.0,11.0,1.0,0.0,0.0,36.0,577.0,1.0,45.0,108.0,229.0
