district_name,risk_score_per_100k
virudhunagar,954.9562165857999
kulgam,953.63065187534
hingoli,950.9956724664393
karur,950.9221760969776
kendujhar,949.7245152306141
east kameng,946.7530817130513
hanumangarh,945.2626145832629
chirang,945.0143312828469
bijapur,943.4627590800454
sirmaur,941.2008945843673
kancheepuram,940.7986290008735
firozabad,936.5908293957623
bargarh,936.5369230821161
aligarh,934.5138081199514
erode,932.9657367800247
pudukkottai,927.3671559525318
tumkur,927.1812406214306
koraput,923.6783032181421
khordha,923.0469966109644
ribhoi,920.8391284191006
khagaria,918.5691163042943
kullu,918.2398841752625
jehanabad,917.4780705457059
deoghar,916.1415024600003
kandhamal,915.2105413921512
kalahandi,915.0411353130793
mainpuri,914.8908044777469
uttar bastar kanker,914.2242179290492
navsari,913.8719924913814
maldah,913.6103308100464
shupiyan,911.8569577221418
jhunjhunun,910.2756376211076
jagatsinghapur,906.9712420105702
nagaon,906.2359230645011
jalna,905.7980261821315
baghpat,904.5714355879445
ramanathapuram,900.8123713930008
gorakhpur,888.0304533207832
nayagarh,884.1501097332854
rohtas,883.6055593431979
malappuram,880.6273888137869
purba champaran,875.4413044275461
sheopur,872.4146302814087
lohardaga,871.1752095108166
ganderbal,868.3929183784619
dhamtari,867.2999233540181
north  & middle andaman,866.0283909580764
kendrapara,864.0195062210098
sirohi,863.4182020290519
uttar dinajpur,863.0809268891909
mahasamund,858.0939894689344
hazaribagh,857.165918610316
tiruvannamalai,856.9602921040621
dharmapuri,854.4022170856553
bulandshahr,853.959409242932
kurnool,853.3814173214361
west kameng,849.9410342239746
kanpur dehat,849.6067218057839
parbhani,847.5637851386047
banka,844.9141251339836
sahibganj,842.7583965123282
karaikal,842.3150303163488
diu,840.1505549794523
chamarajanagar,839.3001113842108
gaya,835.1288809218344
kaimur (bhabua),833.0136056429477
davanagere,831.8953974228693
kapurthala,825.9647091151763
kishtwar,825.5453063772237
kabeerdham,822.5879789818193
garhwa,822.318685439195
kannauj,822.0372132105448
chikkaballapura,821.8442455764622
jamui,820.5782192166007
bharuch,820.1060077278229
latur,818.210933438079
kathua,816.8744474275471
kozhikode,814.5694527382851
patan,811.5445467629753
chennai,810.5194503721468
thoubal,807.8537454283602
buxar,804.8749613209935
bareilly,803.9706327659256
kaushambi,803.4528718501423
badgam,802.327046945585
dhule,801.2728306438951
warangal,795.7834933678304
jashpur,792.0917633493764
tirunelveli,791.7096300475134
guntur,790.9007566369662
nanded,790.4103541138348
barnala,788.7971494155597
porbandar,786.8319870731696
baksa,785.8326974186248
kodarma,781.9797028728434
anand,779.6697638747196
madhepura,778.96373295127
upper siang,778.5956964892413
hisar,778.0411036904557
papum pare,777.4876868679431
bathinda,767.7571523739219
kamrup,767.4205110256303
kangra,766.3857755409499
lower dibang valley,764.6079881656805
shajapur,763.3797211705574
mamit,757.8389143624659
amravati,755.1554556171227
saharsa,754.6848175450541
imphal east,752.6643616823025
supaul,748.920180379673
begusarai,747.6247592610235
sindhudurg,746.1887292547175
kolhapur,745.8073411229769
baleshwar,745.4550234019915
rupnagar,740.9874281908251
mahoba,740.2752186748679
bokaro,737.0062017232935
vaishali,733.2144785396139
jhansi,731.6110303046678
pilibhit,730.8689728789708
anjaw,729.909765200548
madurai,727.605873377192
kota,727.3525459068977
gopalganj,726.1675589341502
korba,725.1955844328052
nawada,717.7310550995743
nabarangapur,714.4869633874061
rayagada,713.288721793636
lalitpur,712.0216897294678
chatra,710.4323962542406
nagaur,710.3453926136342
