district_name,weighted_crime_rate
Jalpaiguri,12583.0
Jammu,4725.75
Jamnagar,12272.0
Jamtara,4727.5
Jamui,14445.5
Janjgir-Champa,15977.5
Jashpur,6746.0
Jaunpur,24709.0
Jayashankar Bhupalapally,10698.5
Jehanabad,10324.5
Jhabua,16542.5
Jhajjar,18363.5
Jhalawar,17983.0
Jhansi,14622.0
Jhargram,4156.0
Jharsuguda,9062.0
Jhunjhunu,19453.0
Jind,19586.5
Jiribam,
Jodhpur,9798.25
Jogulamba Gadwal,7302.0
Jorhat,20279.0
Junagadh,10481.5
Kabeerdham,6766.0
Kachchh,9472.75
Kaimur (Bhabua),13548.0
Kaithal,14380.0
Kakching,
Kakinada,
Kalaburagi,19896.0
Kalahandi,14429.0
Kalimpong,1659.0
Kallakurichi,
Kamareddy,9124.0
Kamjong,
Kamle,71.0
Kamrup,26650.5
Kamrup Metro,11645.92857142857
Kanchipuram,37615.5
Kandhamal,6709.5
Kangpokpi,
Kangra,11573.0
Kannauj,13618.0
Kanniyakumari,20668.5
Kannur,29160.5
Kanpur Dehat,15260.5
Kanpur Nagar,44554.0
Kapurthala,6733.0
Karaikal,1686.5
Karauli,17679.0
Karbi Anglong,5681.5
Kargil,493.0
Karimganj,14809.5
Karimnagar,16363.5
Karnal,28231.5
Karur,10122.5
Kasaragod,21420.0
Kasganj,9808.5
Kathua,5035.5
Katihar,10419.5
Katni,26165.0
Kaushambi,12852.0
Kendrapara,12445.0
Kendujhar,17111.5
Khagaria,15311.5
Khairagarh-Chhuikhadan-Gandai,
Khairthal-Tijara,
Khammam,27482.5
Khandwa (East Nimar),16157.5
Khargone (West Nimar),22881.0
Khawzawl,
Kheda,13040.0
Kheri,22666.5
Khordha,20784.0
Khowai,1944.0
Khunti,2578.5
Kinnaur,942.0
Kiphire,106.5
Kishanganj,9714.5
Kishtwar,1904.5
Kodagu,8800.5
Koderma,5601.0
Kohima,749.0
Kokrajhar,5469.5
Kolar,9407.5
Kolasib,1411.0
Kolhapur,28907.5
Kolkata,46058.5
Kollam,65938.25
Kondagaon,3255.0
Koppal,9418.0
Koraput,12743.5
Korba,12307.0
Korea,8750.5
Kota,14190.75
Kottayam,85055.0
Kozhikode,25140.0
Kra Daadi,
Krishna,31553.0
Krishnagiri,18797.0
Kulgam,4048.0
Kullu,4021.0
Kumuram Bheem Asifabad,6543.0
Kupwara,3378.5
Kurnool,34591.5
Kurukshetra,14547.5
Kurung Kumey,221.0
Kushinagar,18549.5
Lahul And Spiti,362.5
Lakhimpur,16449.0
Lakhisarai,6477.5
Lakshadweep District,283.0
Lalitpur,8698.0
Latehar,4243.5
Latur,20080.5
Lawngtlai,313.5
Leh Ladakh,866.5
Leparada,114.0
Lohardaga,4023.0
Lohit,584.5
Longding,655.5
Longleng,70.0
Lower Dibang Valley,300.5
Lower Siang,413.5
Lower Subansiri,369.5
Lucknow,63875.75
Ludhiana,11486.833333333334
Lunglei,1126.0
Madhepura,15593.0
Madhubani,24015.5
Madurai,22106.5
Mahabubabad,10573.0
Mahabubnagar,13103.0
Mahasamund,8862.0
Mahendragarh,11973.0
Mahesana,19460.0
Mahisagar,3804.0
Mahoba,6484.5
Mahrajganj,5142.0
Mainpuri,17095.0
Majuli,885.5
Malappuram,36219.5
Malda,36442.5
Malerkotla,
Malkangiri,4117.5
Mamit,654.5
Mandi,9763.5
Mandla,10557.5
Mandsaur,16672.5
Mandya,26333.5
Manendragarh-Chirmiri-Bharatpur(M C B),
Mangan,140.5
Mansa,4144.5
Marigaon,14996.5
Mathura,31406.0
Mau,13925.5
Mayurbhanj,15391.0
Medak,7613.0
Meerut,45887.5
Mirzapur,10362.0
Moga,5801.5
Mohla-Manpur-Ambagarh Chouki,
Mokokchung,280.0
Mon,410.5
Moradabad,24330.0
Morbi,13577.5
Morena,30033.0
Mulugu,
Mumbai,165238.25
Mumbai Suburban,27077.5
Mungeli,6395.0
Munger,7186.5
Murshidabad,71292.0
Muzaffarnagar,22784.0
Muzaffarpur,26675.75
Mysuru,16845.25
Nabarangpur,8723.5
Nadia,35713.0
Nagaon,25590.0
Nagapattinam,22699.0
Nagarkurnool,8937.5
Nagaur,22115.0
Nagpur,32905.0
Nainital,6643.0
Nalanda,30181.0
Nalbari,10606.5
Nalgonda,22605.0
Namakkal,17242.5
Namchi,998.5
Namsai,773.0
Nanded,26568.0
Nandurbar,7785.0
Nandyal,
Narayanpet,
Narayanpur,1549.0
Narmada,3101.0
Narmadapuram,21545.0
Narsimhapur,19218.5
Nashik,28449.5
Navsari,12151.5
Nawada,15927.5
Nayagarh,8512.5
Neemuch,10945.0
New Delhi,5619.5
Nicobars,116.5
Nirmal,7333.5
Niwari,
Nizamabad,16305.5
Noney,
North,54533.5
North 24 Parganas,30704.25
North And Middle Andaman,914.5
North East,74490.5
North Garo Hills,516.0
North Goa,4382.0
North Tripura,2339.0
North West,50083.75
Ntr,17762.75
Nuapada,8115.0
Nuh,11106.0
Pakke Kessang,
Pakur,4285.5
Pakyong,
Palakkad,104125.5
Palamu,12694.0
Palghar,30448.0
Pali,22453.0
Palnadu,
Palwal,17900.0
Panch Mahals,10889.0
Panchkula,9064.0
Panipat,29754.0
Panna,10242.5
Papum Pare,1372.8333333333333
Parbhani,15562.0
Parvathipuram Manyam,
Paschim Bardhaman,19897.0
Paschim Medinipur,16505.0
Pashchim Champaran,15622.75
Patan,10905.0
Pathanamthitta,37873.0
Pathankot,2199.0
Patiala,8518.75
Patna,25394.875
Pauri Garhwal,1547.5
Peddapalli,22487.0
Perambalur,6715.5
Peren,133.0
Phek,130.5
Pherzawl,
Pilibhit,14844.0
Pithoragarh,812.5
Pondicherry,16842.5
Poonch,4378.0
Porbandar,4606.5
Prakasam,33180.5
Pratapgarh,15599.5
Prayagraj,64299.0
Pudukkottai,15008.0
Pulwama,2448.0
Pune,46069.0
Purba Bardhaman,28669.0
Purba Medinipur,27108.5
Purbi Champaran,44642.0
Puri,20556.0
Purnia,19505.0
Purulia,9446.5
Rae Bareli,22385.0
Raichur,13146.0
Raigad,13636.0
Raigarh,15171.5
Raipur,23391.5
Raisen,22326.5
Rajanna Sircilla,7371.5
Rajgarh,22138.5
Rajkot,13367.25
Rajnandgaon,16914.0
Rajouri,7626.0
Rajsamand,11473.5
Ramanagara,20049.0
Ramanathapuram,15774.0
Ramban,3539.5
Ramgarh,6187.5
Rampur,15709.5
Ranchi,30542.0
Ranipet,
Ratlam,26970.5
Ratnagiri,10402.5
Rayagada,6904.0
Reasi,1783.5
Rewa,33766.5
Rewari,15727.0
Ri Bhoi,2383.5
Rohtak,25997.0
Rohtas,26154.0
Rudra Prayag,294.5
Rupnagar,5073.0
S.A.S Nagar,3216.75
Sabar Kantha,12052.0
Sagar,43212.0
Saharanpur,18589.0
Saharsa,14344.0
Sahebganj,9696.5
Saitual,
Sakti,
Salem,18942.25
Samastipur,22245.5
Samba,3626.5
Sambalpur,18060.0
Sambhal,15908.5
Sangareddy,14459.5
Sangli,28283.0
Sangrur,9254.5
Sant Kabir Nagar,7592.5
Saraikela Kharsawan,5624.0
Saran,41431.5
Sarangarh-Bilaigarh,
Satara,31785.5
Satna,29555.5
Sawai Madhopur,17255.0
Sehore,21569.5
Senapati,583.5
Seoni,16200.5
Serchhip,377.5
Shahdara,61998.0
Shahdol,21201.0
Shahid Bhagat Singh Nagar,3661.5
Shahjahanpur,19630.0
Shajapur,11547.5
Shamli,10131.0
Sheikhpura,8272.0
Sheohar,3265.5
Sheopur,6001.0
Shi Yomi,
Shimla,2439.625
Shivamogga,26044.5
Shivpuri,22871.0
Shopian,2427.5
Shrawasti,4921.0
Siaha,583.0
Siang,288.5
Siddharthnagar,5735.0
Siddipet,12609.5
Sidhi,13888.5
Sikar,26009.5
Simdega,2535.0
Sindhudurg,6340.0
Singrauli,13095.5
Sirmaur,4987.0
Sirohi,8948.0
Sirsa,15390.0
Sitamarhi,24228.0
Sitapur,27619.0
Sivaganga,19900.0
Sivasagar,12584.0
Siwan,22992.5
Solan,3586.0
Solapur,24180.5
Sonbhadra,8683.5
Sonepur,4821.0
Sonipat,26531.0
Sonitpur,19922.0
Soreng,
South,94442.0
South 24 Parganas,28275.0
South Andamans,2657.5
South East,88589.0
South Garo Hills,414.0
South Goa,6253.5
South Salmara Mancachar,6892.0
South Tripura,4108.5
South West,57350.5
South West Garo Hills,695.0
South West Khasi Hills,279.0
Sri Muktsar Sahib,5037.0
Sri Potti Sriramulu Nellore,59707.5
Sri Sathya Sai,
Srikakulam,18580.0
Srinagar,6727.5
Sukma,2106.0
Sultanpur,21883.0
Sundargarh,8570.0
Supaul,16694.0
Surajpur,8152.5
Surat,59301.25
Surendranagar,10826.5
Surguja,10509.0
Suryapet,18525.5
Tamenglong,615.5
Tamulpur,
Tapi,3645.0
Tarn Taran,7358.5
Tawang,259.5
Tehri Garhwal,1145.5
Tengnoupal,
Tenkasi,
Thane,44786.25
Thanjavur,28954.5
The Nilgiris,4517.5
Theni,18341.5
Thiruvallur,18981.0
Thiruvananthapuram,44443.5
Thiruvarur,15683.5
Thoubal,3410.5
Thrissur,34196.25
Tikamgarh,22767.5
Tinsukia,8986.75
Tirap,381.0
Tiruchirappalli,11445.833333333334
Tirunelveli,24362.75
Tirupathur,
Tirupati,18767.0
Tiruppur,13935.75
Tiruvannamalai,21123.0
Tonk,14894.0
Tuensang,203.5
Tumakuru,24839.0
Tuticorin,27511.5
Udaipur,33568.5
Udalguri,5907.0
Udam Singh Nagar,19007.0
Udhampur,5927.0
Udupi,12590.0
Ujjain,51059.0
Ukhrul,274.5
Umaria,7931.0
Una,5655.0
Unakoti,2344.75
Unnao,20809.5
Upper Siang,275.0
Upper Subansiri,564.0
Uttar Bastar Kanker,6847.0
Uttar Dinajpur,25954.0
Uttar Kashi,606.5
Uttara Kannada,14069.5
Vadodara,16472.0
Vaishali,25626.0
Valsad,12047.5
Varanasi,45206.5
Vellore,43976.5
Vidisha,25849.0
Vijayanagar,
Vijayapura,14545.0
Vikarabad,7535.5
Villupuram,46256.0
Virudhunagar,18548.0
Visakhapatnam,24075.75
Vizianagaram,34504.0
Wanaparthy,5015.0
Warangal,27952.5
Wardha,21613.0
Washim,11791.0
Wayanad,13256.0
West,76503.5
West Garo Hills,1951.5
West Godavari,42520.5
West Jaintia Hills,1606.5
West Kameng,713.5
West Karbi Anglong,1520.0
West Khasi Hills,828.0
West Siang,580.0
West Singhbhum,5307.0
West Tripura,3803.5
Wokha,242.5
Y.S.R.,69956.0
Yadadri Bhuvanagiri,70880.5
Yadgir,7265.0
Yamunanagar,20646.0
Yavatmal,33618.0
Zunheboto,243.0
